"","Date_Time","Well1","Well2","Well3","Well4","Well5","Well6","Well7","Well8"
"343","2017-08-13",325.508229166667,325.359861111111,325.887777777778,325.280069444444,325.523159722222,325.467152777778,324.810486111111,325.275597222222
"344","2017-08-14",325.506493055556,325.3546875,325.896875,325.278645833333,325.52125,325.461006944444,324.810034722222,325.274347222222
"345","2017-08-15",325.500590277778,325.350173611111,325.915069444444,325.276111111111,325.515451388889,325.457326388889,324.81,325.271534722222
"346","2017-08-16",325.500555555556,325.352083333333,325.916145833333,325.274444444444,325.515520833333,325.454340277778,324.8128125,325.272715277778
"347","2017-08-17",325.497395833333,325.344722222222,325.913541666667,325.268506944444,325.513055555556,325.445798611111,324.808819444444,325.271777777778
"348","2017-08-18",325.493055555556,325.339375,325.912118055556,325.267465277778,325.509930555556,325.436840277778,324.831527777778,325.281083333333
"349","2017-08-19",325.488090277778,325.334340277778,325.909513888889,325.266180555556,325.506597222222,325.431701388889,324.866527777778,325.292368055556
"350","2017-08-20",325.485034722222,325.328576388889,325.904861111111,325.260486111111,325.502916666667,325.425451388889,324.864513888889,325.288930555556
"351","2017-08-21",325.48,325.325590277778,325.905520833333,325.258055555556,325.501840277778,325.418611111111,324.858854166667,325.289
"352","2017-08-22",325.478541666667,325.324131944444,325.9046875,325.2575,325.503611111111,325.417118055556,324.859791666667,325.2899375
"353","2017-08-23",325.475868055556,325.319131944444,325.901631944444,325.253680555556,325.499479166667,325.407847222222,324.857291666667,325.28525
"354","2017-08-24",325.468784722222,325.315972222222,325.898229166667,325.247673611111,325.495173611111,325.404270833333,324.854618055556,325.281777777778
"355","2017-08-25",325.46625,325.309930555556,325.894548611111,325.245625,325.4928125,325.396979166667,324.8525,325.279416666667
"356","2017-08-26",325.459409722222,325.306631944444,325.892673611111,325.238611111111,325.490347222222,325.388263888889,324.848402777778,325.276083333333
"357","2017-08-27",325.460347222222,325.306944444444,325.892465277778,325.239583333333,325.4896875,325.3865625,324.850486111111,325.276916666667
"358","2017-08-28",325.457013888889,325.302395833333,325.891215277778,325.237048611111,325.490243055556,325.383854166667,324.847222222222,325.276604166667
"359","2017-08-29",325.449305555556,325.298263888889,325.885694444444,325.228715277778,325.483611111111,325.376180555556,324.840868055556,325.270631944444
"360","2017-08-30",325.445625,325.290034722222,325.881909722222,325.225243055556,325.479131944444,325.367083333333,324.836597222222,325.2636875
"361","2017-08-31",325.438339483395,325.287490774908,325.878450184502,325.21778597786,325.474501845018,325.358191881919,324.828560885609,325.259922509225
"362","2017-09-01",325.439305555556,325.212222222222,325.876875,325.215416666667,325.465347222222,325.355138888889,324.831493055556,325.263479166667
"363","2017-09-02",325.438993055556,325.112361111111,325.875104166667,325.210590277778,325.468993055556,325.348506944444,324.8365625,325.270979166667
"364","2017-09-03",325.434236111111,325.103472222222,325.868715277778,325.204861111111,325.460763888889,325.341006944444,324.828680555556,325.260180555556
"365","2017-09-04",325.424930555556,325.091215277778,325.8596875,325.194236111111,325.4503125,325.328368055556,324.819340277778,325.247611111111
"366","2017-09-05",325.415208333333,325.080277777778,325.851041666667,325.178854166667,325.440208333333,325.318090277778,324.810451388889,325.2336875
