Month,Well,Bank,DTW,Temperature,Conductivity,DO (ppm),pH,Alkalinity ,Cl,SO4,NO3,Ca,K,NH4,Mg,Na,Aragonite,  Calcite,   CO2, Dolomite
Aug '18,Well6,Ag,621,17.3,589,3.622,6.89,357.6,2.3043,51.6615,1.0675,129.36,1.1,,23.14,5.8,-0.1402,0.0092,-1.3226,-0.4849
Aug '18,Well7,Ag,535,15.6,601,1.814,6.65,342.6,2.8698,50.555,0.02,116.25,1.21,,23.26,6.01,-0.4628,-0.3121,-1.1081,-1.1059
Aug '18,Well8,Pr,562,15.8,599,3.44,6.87,352.1,2.999,53.0453,0.02,118.52,1.16,,21.69,6.26,-0.222,-0.0714,-1.3156,-0.6601
Sep '18,Well1,Ag,637,14.7,588.4,3.349,6.93,331.5,3.6242,52.4376,2.2022,110.92,1.33,,21.08,5.53,-0.2283,-0.0769,-1.4065,-0.6726
Sep '18,Well2,Pr,598,15.3,583.1,3.571,6.97,348.6,2.2853,50.7053,1.0262,114.77,0.73,,23.18,4.44,-0.1464,0.0046,-1.4226,-0.4733
Sep '18,Well3,Pr,,,,,,,,,,,,,,,,,,
Sep '18,Well4,Ag,576,14.8,586.3,3.093,6.82,336.7,2.5107,51.9294,3.0528,111.89,0.76,,22.52,4.69,-0.3276,-0.1763,-1.2895,-0.8448
Sep '18,Well5,Pr,571,15,589.3,3.975,6.96,332.1,2.2569,50.792,0.02,116.92,0.53,,23.97,4.63,-0.1731,-0.0219,-1.4355,-0.5245
Sep '18,Well6,Ag,599,15.6,584.3,3.139,6.99,327.6,2.4434,54.7106,3.0112,114.88,0.55,,23.02,4.8,-0.1478,0.003,-1.4679,-0.475
Sep '18,Well7,Ag,502,14.2,593.4,2.65,6.81,347.5,2.519,48.0825,3.5584,151.76,1.2,,22.73,5.93,-0.2167,-0.0649,-1.2745,-0.7598
Sep '18,Well8,Pr,539,14.6,599.2,3.153,6.9,337.7,2.3052,54.1485,0.02,111.38,1.29,,22.02,5.63,-0.2513,-0.0998,-1.3691,-0.703
Jan '19,Well1,Ag,419,9.9,538.7,4.437,6.91,290.1,2.0566,43.1615,0.02,105.88,1.09,,19.11,4.69,-0.3889,-0.2337,-1.4669,-1.0933
Jan '19,Well2,Pr,381,13.8,605.3,3.504,6.85,338.4,1.8793,45.7673,0.02,112.97,1.28,,22.02,5.52,-0.3043,-0.1522,-1.3225,-0.8272
Jan '19,Well3,Pr,515,13.8,636.4,3.514,6.82,,1.8941,42.3257,0.6166,127.34,1.28,,23.52,5.81,,,,
Jan '19,Well4,Ag,378,13.9,604.4,3.204,6.64,338,2.0468,46.5653,0.7361,142.61,1.51,,21.69,6.33,-0.4237,-0.2716,-1.1162,-1.1718
Jan '19,Well5,Pr,368,13.7,612.2,3.514,6.82,353.1,1.6538,40.4645,0.02,118.12,1.33,,23.72,6.25,-0.3014,-0.1491,-1.2757,-0.8098
Jan '19,Well6,Ag,367,14,662.7,3.372,6.84,343.9,3.8465,53.4907,0.02,118.04,1.16,,22.11,6.97,-0.2909,-0.1389,-1.3054,-0.8146
Jan '19,Well7,Ag,323,13.5,582.5,2.616,6.63,337.9,2.5438,46.5048,1.7307,113.98,1.55,,21.68,6.33,-0.5263,-0.3739,-1.1046,-1.2865
Jan '19,Well8,Pr,348,13.9,630.2,3.303,6.8,367.1,2.2714,47.8482,0.02,120.45,1.31,,24.06,6.37,-0.2981,-0.1461,-1.2384,-0.8026
